1000000000
NPU load:  Core0: 49%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 49%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 53%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 51%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 59%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 52%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 48%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 49%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 59%, Core1: 11%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 49%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 55%, Core1: 11%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 48%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 52%, Core1: 12%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 47%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 51%, Core1: 12%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 57%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 48%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 49%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 57%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 58%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  2%, Core2:  0%,
NPU load:  Core0: 51%, Core1: 11%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 49%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 57%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 58%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 58%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 49%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 56%, Core1: 11%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 50%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 58%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 57%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 60%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 44%, Core1:  2%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  2%, Core2:  0%,
NPU load:  Core0: 58%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 56%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 46%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 43%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 48%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 49%, Core1:  2%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 52%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 47%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 49%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 59%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 47%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 52%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 54%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 53%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 58%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 48%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 59%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 59%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 49%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 58%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 48%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 51%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 57%, Core1: 12%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 52%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 49%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 51%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 49%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 59%, Core1: 11%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 58%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 49%, Core1: 12%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 46%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 44%, Core1:  2%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 48%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 48%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 46%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 47%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 46%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 49%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 60%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 49%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 48%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 47%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 52%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 47%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 48%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 54%, Core1: 11%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 52%, Core1: 11%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 51%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 47%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 56%, Core1: 11%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 54%, Core1: 11%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 60%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 57%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 60%, Core1: 11%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 48%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 57%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 57%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 49%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 45%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 45%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 47%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 44%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 47%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 46%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  3%, Core2:  0%,
NPU load:  Core0: 48%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 45%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 44%, Core1:  2%, Core2:  0%,
NPU load:  Core0: 43%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 47%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 55%, Core1: 12%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 49%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 57%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 49%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 48%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 60%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 49%, Core1:  2%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  2%, Core2:  0%,
NPU load:  Core0: 48%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  2%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 57%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 45%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  6%, Core2:  0%,
NPU load:  Core0: 53%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 59%, Core1: 12%, Core2:  0%,
NPU load:  Core0: 58%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 50%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 48%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 54%, Core1: 10%, Core2:  0%,
NPU load:  Core0: 51%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 55%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 56%, Core1:  8%, Core2:  0%,
NPU load:  Core0: 57%, Core1:  4%, Core2:  0%,
NPU load:  Core0: 57%, Core1: 12%, Core2:  0%,
NPU load:  Core0: 54%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 57%, Core1:  5%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  7%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  9%, Core2:  0%,
NPU load:  Core0: 52%, Core1:  7%, Core2:  0%,
